Total Population,Total Households,Median Household Income (Current Year $),Total Households For Period Of Construction,Total Households For Period Of Construction Built Before 1961,Total Households For Period Of Construction Built Between 1961 And 1980,Total Households For Period Of Construction Built Between 1981 And 190,Total Households For Period Of Construction Built Between 1991 And 2000,Total Households For Period Of Construction Built Between 2001 And 2005,Total Households For Structure Type Houses,"Total Households For Structure Type Apartment, Building Low And High Rise",Total Households For Structure Type Other Dwelling Types,Total Households for Tenure,Dwellings by Tenure Owner,Dwellings by Tenure Renter
5648,3828,40643.12,3828,1190,1456,532,301,52,59,3769,0,3519,538,2981
4442,1552,97250.11,1552,8,139,334,415,298,1266,286,0,1445,1375,70
6155,2466,59320.73,2466,110,568,526,611,180,1892,536,38,2359,1839,520
6158,1958,119490.71,1958,131,456,1264,96,0,1901,57,0,1877,1791,86
3432,1631,44730.03,1631,916,378,111,104,23,118,1505,8,1539,522,1017
5743,2643,50053.56,2643,280,1481,530,267,9,793,1849,1,2541,1133,1408
7245,2131,112240.81,2131,0,12,0,67,1080,2121,10,0,2048,1846,202
4672,1915,71488.49,1915,70,938,294,266,131,1035,880,0,1832,923,909
802,518,20084.95,518,257,152,74,23,0,40,473,5,509,72,437
5100,2311,51982.93,2311,13,190,751,820,156,756,1555,0,2033,1267,766
7090,2322,52900.15,2322,172,1780,177,72,10,1834,479,9,2156,1353,803
5532,1945,115283.13,1945,55,229,1123,408,28,1823,117,5,1844,1667,177
3419,1353,69402.56,1353,342,223,138,275,138,534,819,0,1261,1158,103
8205,2491,76376.26,2491,171,1306,344,194,72,742,1740,9,2341,1501,840
9022,3107,96157.76,3107,276,499,380,1283,417,2635,472,0,2914,2457,457
8411,3074,81693.06,3074,246,971,480,616,288,2310,760,4,2980,2572,408
6420,2483,62170.2,2483,387,1323,424,168,11,1756,727,0,2338,1417,921
1605,683,51875.97,683,148,169,130,100,15,479,199,5,657,433,224
3302,1250,84118.8,1250,15,729,408,14,0,1135,115,0,1206,1125,81
4343,1660,61548.62,1660,257,1014,266,69,17,1209,446,5,1634,1169,465
4485,1719,83122.67,1719,590,320,343,240,79,1218,497,4,1613,1117,496
6376,2496,41460.08,2496,775,1252,195,201,21,332,2164,0,2342,321,2021
3273,1466,74354.38,1466,661,636,68,32,33,933,533,0,1409,854,555
4791,1988,93365.95,1988,109,1642,135,23,6,1658,330,0,1860,1317,543
4798,2282,33871.31,2282,903,613,470,116,56,149,2106,27,2116,508,1608
1362,774,48440.69,774,471,186,56,21,15,10,764,0,738,232,506
5396,2393,42223.13,2393,2,28,76,1295,777,0,2387,6,2238,1364,874
3066,1168,84293.91,1168,26,557,438,122,3,1002,161,5,1141,965,176
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6371,2203,81344.18,2203,94,1111,363,259,287,1850,349,4,2080,1621,459
6822,2820,55000.9,2820,83,1198,938,447,54,531,2289,0,2590,559,2031
7306,2129,52559.51,2129,3,224,929,559,269,1423,706,0,1998,1791,207
4964,1265,70513.03,1265,46,421,317,221,137,419,846,0,1263,801,462
4014,1909,73286.29,1909,1048,500,219,63,17,727,1178,4,1896,913,983
4073,1603,89684.77,1603,1279,152,41,53,26,779,824,0,1498,941,557
2205,634,118703.5,634,0,11,41,418,71,431,203,0,577,498,79
1981,836,59714.64,836,373,268,37,23,23,685,151,0,800,515,285
2604,922,96824.19,922,413,156,141,88,46,863,55,4,856,606,250
6932,2125,56158.3,2125,37,229,1017,698,64,1059,1066,0,1957,1057,900
5123,2168,72134.44,2168,1621,347,58,53,0,800,1299,69,2018,942,1076
5412,1879,68027.67,1879,46,219,507,578,121,695,1180,4,1774,1162,612
3909,1980,39296.9,1980,1299,353,124,60,24,981,985,14,1811,746,1065
3099,1441,53568.64,1441,598,590,87,31,16,857,584,0,1421,785,636
4289,1609,30182.8,1609,201,1003,282,45,14,114,1495,0,1621,291,1330
6456,2616,27089.51,2616,43,373,95,209,382,673,1943,0,2326,1031,1295
5518,1941,42363.77,1941,197,1339,208,134,14,714,1227,0,1866,743,1123
6935,2406,115644.16,2406,0,26,280,1750,223,2338,68,0,2253,2141,112
1675,576,39731.99,576,160,196,37,134,13,289,287,0,575,238,337
7907,2664,76831.27,2664,206,832,553,257,159,2115,548,1,2549,2209,340
5652,1904,47521.12,1904,354,639,374,283,113,275,1629,0,1776,486,1290
6837,2716,77877.62,2716,643,1120,552,201,24,1924,788,4,2559,1651,908
8195,2804,115741.74,2804,96,732,518,331,425,2714,90,0,2736,2611,125
7384,3348,83990.97,3348,1596,978,305,145,119,1962,1370,16,3233,2139,1094
4426,1705,60177.09,1705,576,872,127,72,31,1036,669,0,1650,608,1042
3817,1114,67723.16,1114,233,237,97,175,88,191,923,0,1080,595,485
2142,1215,41427.59,1215,825,240,47,30,27,5,1199,11,1136,228,908
4555,1477,111278.79,1477,677,143,143,202,55,992,485,0,1367,1066,301
5430,1445,81743.32,1445,0,25,75,589,301,725,700,20,1422,1103,319
5023,2325,70027.83,2325,300,975,278,343,201,1116,1200,9,2263,1301,962
5979,2391,84395.21,2391,217,1122,463,243,43,1642,742,7,2316,1735,581
4513,1612,137128.77,1612,0,8,360,209,604,1307,305,0,1437,1251,186
3587,1524,98502.41,1524,1023,303,66,63,15,746,762,16,1437,736,701
3537,1796,88030.37,1796,912,490,225,78,56,436,1355,5,1773,887,886
5643,1714,104861.22,1714,32,140,99,47,547,1260,449,5,1555,1222,333
18,11,42677.67,11,1,3,1,1,0,7,4,0,6,3,3
4163,1791,61367.13,1791,129,1456,111,45,8,1131,660,0,1698,940,758
4346,1643,92765.23,1643,185,1103,158,85,53,1597,46,0,1594,1492,102
7563,3964,43384.91,3964,12,34,38,432,1002,122,3842,0,3582,2237,1345
5324,1865,71163.4,1865,44,901,658,144,43,906,959,0,1756,1323,433
4077,1784,69439.97,1784,532,773,158,195,35,1287,352,145,1719,1420,299
4777,2124,42648.79,2124,286,898,163,98,54,12,2108,4,1985,748,1237
3806,1308,110354.26,1308,47,405,562,221,16,1303,5,0,1233,1181,52
7245,2965,68941.43,2965,527,1094,497,286,270,2433,528,4,2861,1960,901
25,2,100000,2,0,1,1,0,0,2,0,0,6,6,0
6193,2806,56511.01,2806,377,1563,307,187,58,1059,1743,4,2707,1167,1540
3500,1445,41540.12,1445,333,812,137,64,27,206,1239,0,1379,355,1024
7672,3242,50476.36,3242,1476,461,296,394,229,819,2418,5,3002,1481,1521
7129,1905,74076.17,1905,19,120,1008,602,53,952,953,0,1747,1323,424
8809,5217,50267.8,5217,102,1250,1038,1068,350,466,4742,9,4663,1798,2865
2496,822,100216.58,822,133,680,1,0,0,822,0,0,808,801,7
6582,2172,57316.6,2172,248,1516,227,103,14,801,1366,5,1996,913,1083
7308,1800,91850.47,1800,0,12,3,114,1300,1723,77,0,1667,1571,96
2870,1092,87880.29,1092,38,137,309,499,47,863,229,0,1035,822,213
2926,995,110453.56,995,24,306,161,133,31,385,610,0,860,455,405
4674,1430,115688.72,1430,0,0,17,411,769,1430,0,0,1338,1216,122
4579,1757,34218.91,1757,135,833,198,247,12,22,1725,10,1621,291,1330
3553,1286,56733.54,1286,824,255,55,86,22,897,389,0,1201,880,321
13980,4639,86278.74,4639,0,0,0,62,620,4499,140,0,4124,3640,484
3692,2130,45193.27,2130,619,828,405,126,47,303,1823,4,2003,514,1489
201,81,56375.46,81,0,9,26,22,3,56,21,4,90,59,15
4191,1252,85392.11,1252,32,397,289,262,84,576,676,0,1167,796,371
6363,2212,74693.59,2212,87,1629,331,73,11,1774,438,0,2071,1516,555
5828,2252,60681.76,2252,307,1079,382,138,48,1757,490,5,2151,1460,691
6360,3095,37484.86,3095,31,461,269,814,331,120,2975,0,2766,1593,1173
5124,1609,71522.94,1609,67,404,639,345,78,606,1003,0,1496,825,671
5862,2003,110745.45,2003,0,271,1626,73,3,1913,90,0,1907,1533,374
3531,1109,75601.64,1109,89,407,152,266,22,564,541,4,1013,764,249
6000,2130,70184.96,2130,93,1583,268,105,36,1613,517,0,2060,1170,890
1793,710,90475.81,710,132,209,198,90,21,603,107,0,705,585,120
3673,1500,79412.7,1500,31,1106,224,63,20,782,194,524,1449,864,585
8190,2411,128051.93,2411,15,111,1041,694,334,2315,96,0,2222,2156,66
1564,782,51613.26,782,380,291,55,27,3,318,454,10,770,347,423
6669,2806,47309.87,2806,1439,976,116,44,21,78,2718,10,2666,1130,1536
4326,1672,100562.91,1672,382,640,176,238,56,1530,132,10,1612,1441,171
812,299,118076.95,299,252,10,0,20,3,247,52,0,298,251,47
3053,1099,96296.47,1099,699,283,14,20,9,1038,61,0,1072,938,134
2620,1172,75459.04,1172,63,314,173,217,102,1126,41,5,1136,1040,96
3145,981,100807.57,981,16,146,720,79,3,887,94,0,951,850,101
4851,2546,51617.8,2546,1256,589,183,92,89,900,1643,3,2380,1080,1300
3131,1498,71548.47,1498,765,657,36,27,0,1046,452,0,1467,923,544
7364,3417,42292.48,3417,290,1255,671,549,95,1270,2143,4,3288,1228,2060
5535,1915,129416.41,1915,912,789,87,13,17,1894,21,0,1843,1791,52
1721,485,227744.8,485,102,224,83,15,20,475,10,0,463,451,12
9428,3305,89772.35,3305,33,848,826,557,67,1823,1482,0,3137,2133,1004
3612,1626,50617.03,1626,614,698,156,68,32,384,1238,4,1559,680,879
3978,1597,120744.41,1597,125,157,82,285,247,996,597,4,1499,1348,151
2511,1156,29045.04,1156,553,272,95,133,64,586,570,0,1073,252,821
5579,2786,74873.73,2786,1044,602,181,219,157,1194,1592,0,2503,1476,1027
9584,2673,113040.53,2673,0,28,10,75,966,2673,0,0,2438,2249,189
4554,1473,91578.02,1473,10,94,1132,206,17,1411,62,0,1410,1332,78
4404,1487,108726.56,1487,330,472,525,82,8,1374,113,0,1384,1289,95
9757,3752,38825.68,3752,736,2554,266,129,0,193,3559,0,3507,1297,2210
6121,2490,58819.16,2490,241,1927,150,72,9,1890,600,0,2309,1377,932
1694,744,57099.48,744,88,289,113,86,54,700,5,39,723,659,64
15,5,75000,5,0,1,1,1,1,5,0,0,5,4,1
3001,1721,32507.45,1721,171,1143,234,80,41,248,1473,0,1691,206,1485
9382,6351,61490.07,6351,2194,2474,593,239,23,173,6177,1,5621,524,5097
7242,4316,43589.32,4316,180,1606,667,503,222,96,4220,0,3719,961,2758
4474,2005,59207.56,2005,260,789,168,273,94,1508,468,29,1937,1598,339
7780,1968,94441.92,1968,2,27,37,533,1123,1867,101,0,1811,1563,248
1847,559,99394.69,559,8,40,226,49,7,498,61,0,509,462,47
6007,1578,116021.67,1578,0,0,24,168,1074,1541,37,0,1483,1401,82
4945,1816,96236.75,1816,475,430,386,214,135,1699,112,5,1771,1557,214
2145,713,97714.67,713,138,261,70,110,43,640,68,5,675,562,113
1522,917,24468.42,917,398,228,185,62,19,82,825,10,856,106,750
4808,1838,103871.35,1838,19,773,404,439,125,1503,335,0,1714,1387,327
4096,1437,109007.01,1437,411,439,315,136,40,1420,12,5,1416,1294,122
4116,1068,133328.31,1068,0,11,43,727,198,1057,11,0,965,930,35
1451,582,56648.73,582,147,105,141,157,17,501,77,4,568,346,222
5497,2082,59451.47,2082,93,1175,384,171,180,1566,516,0,1943,877,1066
4436,2521,90411.87,2521,778,601,260,333,167,549,1972,0,2347,1131,1216
4655,2030,32223.43,2030,243,1085,263,112,32,0,2010,20,1919,227,1692
2749,1031,130128.03,1031,778,151,27,15,32,864,167,0,964,764,200
4121,1344,85099.69,1344,454,750,48,46,3,877,461,6,1244,1012,232
3312,1085,71231.92,1085,243,650,113,47,11,910,165,10,1053,929,124
1096,510,53889.93,510,222,150,9,4,18,360,145,5,492,199,293
6242,2237,103675.21,2237,737,682,360,224,141,2078,152,7,2186,1885,301
3236,676,103792.47,676,149,224,120,96,28,552,115,9,650,417,233
9865,5908,80070.79,5908,17,11,31,290,2119,6,5902,0,5311,2149,3162
3962,1488,97876.42,1488,468,364,108,71,281,1309,175,4,1366,1153,213
2712,1477,55298.15,1477,41,341,747,202,21,441,1036,0,1392,806,586
4614,1781,39347.03,1781,248,1320,135,35,2,15,1766,0,1764,502,1262
4342,2377,72105.46,2377,216,1026,557,104,0,265,2112,0,2272,1213,1059
1424,633,51143.05,633,152,169,119,51,39,577,20,36,620,560,60
6844,2259,108983.67,2259,3,10,37,171,1224,1911,348,0,2122,1546,576
4665,1869,89583.71,1869,15,56,691,605,442,1478,391,0,1858,1579,279
2376,1015,55758.75,1015,338,413,58,50,29,1005,0,10,927,801,126
7374,2695,74745.9,2695,16,520,342,448,163,2088,434,173,2461,2133,328
2072,710,96618.43,710,211,225,101,75,38,678,27,5,658,571,87
3797,1157,114415.05,1157,0,61,843,167,10,956,201,0,1071,928,143
3804,1511,96686.86,1511,692,721,22,15,14,1470,41,0,1479,1392,87
87,31,38710.94,31,0,0,12,18,0,22,5,4,29,3,8
6358,4236,40850.3,4236,576,2200,630,416,104,0,4232,4,3987,854,3133
4993,1648,85656.02,1648,57,875,223,202,46,1268,380,0,1550,1287,263
5055,1865,97732.05,1865,26,468,1247,69,3,1832,33,0,1737,1526,211
3442,1414,74760.48,1414,475,491,230,72,0,1118,296,0,1317,1038,279
6465,2289,97723.28,2289,142,524,321,389,371,2017,75,197,2093,1976,117
3291,1027,52498.33,1027,813,73,21,54,27,22,1000,5,962,364,598
6344,2252,67235.58,2252,232,659,271,445,204,1903,241,108,2190,1712,478
5222,1649,92739.81,1649,10,0,50,612,554,1601,44,4,1553,1211,342
3082,1147,110973.02,1147,0,720,354,32,0,1147,0,0,1064,967,97
3582,1620,45023.73,1620,187,928,255,135,32,658,962,0,1554,435,1119
3622,2492,50821.23,2492,678,1390,230,89,0,5,2487,0,2355,658,1697
8692,2227,93747.65,2227,40,70,35,604,1106,1858,369,0,2035,1715,320
2223,1154,47480.03,1154,903,155,38,14,0,437,713,4,1111,428,683
3994,2251,54631.45,2251,1130,762,161,42,12,477,1765,9,2176,1105,1071
5423,2244,100966.34,2244,86,1687,309,79,0,1869,375,0,2134,1529,605
2811,1087,57524.45,1087,813,158,38,29,17,435,642,10,1007,641,366
6561,2934,69275.24,2934,485,1432,551,218,58,1884,1041,9,2917,2007,910
6169,2203,83349.54,2203,1250,564,74,39,127,1852,341,10,2120,1812,308
9413,2954,91816.47,2954,11,39,18,29,17,2703,251,0,2566,2268,298
4053,2701,50634.31,2701,319,1887,266,188,2,194,2507,0,2670,611,2059
6912,2415,111904.8,2415,35,1261,546,361,80,2412,3,0,2356,2256,100
3115,1110,71590.73,1110,102,535,265,159,24,958,147,5,1094,784,310
3396,1906,43960.57,1906,898,439,240,98,56,591,1293,22,1660,558,1102
7591,2275,95646.21,2275,61,39,10,10,0,2251,24,0,1929,1492,437
3742,1268,64299.31,1268,347,497,147,121,60,852,416,0,1185,770,415
1370,540,67684.62,540,128,171,78,58,35,535,5,0,506,453,53
4034,2069,31598.88,2069,1102,754,94,47,17,201,1863,5,1947,404,1543
4379,1532,91215.63,1532,61,61,580,524,180,1378,154,0,1476,1185,291
7590,2404,86199.33,2404,143,274,359,261,373,2202,198,4,2295,2127,168
5748,2392,56007.45,2392,387,652,221,370,221,960,1428,4,2212,1426,786
4540,2151,41973.15,2151,764,627,389,293,25,1135,1016,0,2029,935,1094
1442,483,446456.92,483,79,155,31,59,59,438,45,0,435,405,30
6087,2948,41489.48,2948,1451,1225,118,73,2,315,2633,0,2756,366,2390
4285,1634,128037.86,1634,540,549,213,125,57,1589,45,0,1587,1481,106
8032,2835,59596.06,2835,116,1510,676,359,61,1647,1188,0,2661,1626,1035
240,83,52310.32,83,0,10,27,16,0,80,3,0,81,37,16
1645,1042,37918.83,1042,640,207,57,32,26,30,976,36,1032,166,866
4553,1878,77647.38,1878,160,1524,138,26,10,1330,548,0,1873,1116,757
1870,541,99043.32,541,0,52,44,46,98,288,241,12,465,29,121
7036,2566,75408.76,2566,438,649,633,539,46,1498,1068,0,2376,1226,1150
2462,976,105093.17,976,427,434,23,10,3,879,97,0,903,706,197
5402,1455,101576.9,1455,17,166,886,288,17,1212,243,0,1358,1214,144
7002,2423,83804.85,2423,17,472,670,115,106,2329,94,0,2168,1757,411
1512,751,57656.35,751,35,160,41,302,122,587,160,4,719,577,142
5144,2352,77380.71,2352,303,1419,490,95,16,1505,847,0,2322,1661,661
2280,813,108049.63,813,150,276,95,147,50,808,5,0,766,718,48
4078,1378,34599.79,1378,326,826,92,75,9,448,930,0,1295,235,1060
3815,1460,78046.59,1460,95,1014,268,14,13,1267,188,5,1443,1221,222
6840,2151,104454.91,2151,15,254,1567,261,15,2049,102,0,2030,1867,163
5494,2096,79232.69,2096,162,1198,106,231,289,1430,666,0,1975,1140,835
3334,945,93625.96,945,10,55,190,325,186,731,214,0,876,758,118
4567,1807,83825.86,1807,337,493,370,250,187,1241,562,4,1735,1277,458
7682,2563,115097.2,2563,362,463,292,535,208,2372,41,150,2382,2242,140
5738,1664,89087.76,1664,0,11,36,904,517,1567,97,0,1582,1416,166
3195,1252,66900.59,1252,203,966,34,18,13,1090,162,0,1213,876,337
3914,1347,74893.73,1347,100,494,256,80,59,453,894,0,1280,665,615
4845,1737,125526.31,1737,123,371,476,373,206,1718,19,0,1645,1601,44
6554,2494,84257.1,2494,988,754,213,200,98,2402,33,59,2413,2264,149
5465,2055,54513.82,2055,32,1387,227,118,189,1563,492,0,1906,1328,578
5574,2166,67448.07,2166,69,1451,280,76,63,1593,573,0,2011,1320,691
6977,2338,211770.73,2338,93,614,245,534,283,2262,61,15,2138,2054,84
9354,3950,85164.01,3950,7,36,56,1313,1074,2203,1746,1,3588,2963,625
5349,2433,58534.44,2433,664,947,306,261,13,803,1627,3,2218,1224,994
1636,792,50884.47,792,388,112,11,77,99,167,599,26,738,277,461
3459,990,53645.83,990,78,723,95,40,14,501,462,27,929,569,360
3500,1112,54204.54,1112,124,709,173,59,0,235,877,0,1009,619,390
2377,1537,43797.08,1537,637,728,65,83,10,16,1521,0,1467,49,1418
4784,1681,124376.34,1681,15,448,945,203,0,1392,289,0,1558,1299,259
2454,1101,60534.71,1101,900,141,29,8,8,886,208,7,1063,759,304
9881,2868,114884.49,2868,0,8,0,25,41,2657,211,0,2498,2198,300
5707,1716,102567.65,1716,18,17,27,183,663,1566,150,0,1628,1326,302
5245,1942,46089.33,1942,734,352,236,118,14,480,1462,0,1779,1132,647
4604,1775,70548.14,1775,3,64,95,726,551,527,1248,0,1531,406,1125
3336,1369,57448.46,1369,444,721,86,66,9,703,661,5,1314,782,532
7390,2586,127775.6,2586,693,469,193,459,226,1800,780,6,2398,1884,514
922,354,57798.65,354,49,86,14,47,29,317,29,8,324,272,52
6431,2342,49683.05,2342,445,678,304,285,229,651,1686,5,2223,1112,1111
1375,648,68786.84,648,269,0,2,0,8,68,574,6,520,335,185
3321,1448,82102.56,1448,453,558,45,50,13,764,680,4,1265,675,590
3183,1481,52402.36,1481,389,737,159,68,40,693,280,508,1367,1001,366
2308,979,83096.27,979,81,624,72,46,40,648,159,172,908,731,177
4778,1950,84739.95,1950,59,947,475,330,54,1542,337,71,1903,1589,314
4416,1865,73510.95,1865,531,947,130,128,32,1473,392,0,1758,1071,687
3473,1291,74042.2,1291,77,758,297,114,25,1076,215,0,1245,890,355
3362,1811,33164.62,1811,1069,430,58,43,28,251,1532,28,1790,445,1345
2456,1004,53517.75,1004,184,607,140,54,9,458,546,0,986,311,675
7258,2920,74466.49,2920,538,772,456,632,233,1873,1036,11,2775,1679,1096
4463,1258,89622.87,1258,35,222,689,212,59,1029,229,0,1180,843,337
6436,2042,111056.05,2042,68,848,122,82,20,1656,386,0,1872,1688,184
3595,1427,74367.05,1427,158,1146,39,26,11,1129,298,0,1387,1026,361
3047,1285,83665.58,1285,325,831,74,43,0,1070,215,0,1247,878,369
2058,1097,39824.14,1097,506,234,75,66,29,314,751,32,1084,397,687
6333,2157,133094.91,2157,0,20,0,52,380,1673,484,0,1930,1426,504
5122,2493,85221.1,2493,454,879,386,159,99,1192,1301,0,2311,1198,1113
6462,2197,75859.75,2197,92,1618,278,118,19,1261,936,0,2011,1306,705
7330,3015,73894.3,3015,156,527,478,603,333,1703,79,1233,2936,2706,230
4244,1904,89355.96,1904,18,759,728,73,65,1310,590,4,1782,1501,281
6451,2729,97149.65,2729,64,1682,423,282,58,1784,941,4,2538,1686,852
7993,3176,103251.71,3176,851,1022,361,309,217,2950,149,77,3054,2699,355
3793,1351,52157.63,1351,914,291,76,29,14,1079,272,0,1279,892,387
4515,1231,93689.33,1231,0,0,18,359,701,1221,10,0,1133,1019,114
7543,3589,39944.86,3589,1342,1319,301,225,36,1004,2582,3,3286,859,2427
2175,1151,31617.51,1151,763,243,62,15,10,164,987,0,1133,297,836
4347,1722,55426.71,1722,605,902,56,70,29,525,1192,5,1644,792,852
7827,3444,75898.92,3444,274,828,448,407,292,1718,1019,707,3237,2567,670
6288,2387,79226.83,2387,170,1600,381,58,114,1650,732,5,2256,1898,358
3992,1506,43403.14,1506,173,997,184,88,36,230,1276,0,1404,187,1217
5079,2161,38924.89,2161,1087,652,125,197,13,656,1505,0,2026,613,1413
9001,3660,103285.97,3660,551,709,427,388,396,3503,154,3,3428,3005,423
3200,1416,52983.64,1416,778,318,114,98,65,1143,273,0,1396,779,617
8607,3434,87980.76,3434,7,25,15,42,296,2294,1140,0,3289,2411,878
6598,2523,102776.01,2523,17,874,1318,219,37,2440,83,0,2389,1944,445
4106,1849,67510.34,1849,245,1184,79,37,17,1278,566,5,1843,1411,432
5707,2452,79618.05,2452,2035,263,44,45,3,676,1762,14,2313,999,1314
1465,702,72571.68,702,577,50,64,2,0,20,677,5,681,306,375
4886,1695,53970.97,1695,126,1211,114,108,23,1084,611,0,1566,880,686
4288,1701,85028.29,1701,1161,359,44,26,35,664,1037,0,1629,785,844
5655,3034,48121.07,3034,15,158,505,230,989,5,3029,0,2815,1542,1273
4212,1300,143427.35,1300,117,407,258,172,132,1284,16,0,1183,1129,54
9795,3916,73450.3,3916,1214,575,295,496,131,846,3031,39,3619,1999,1620
6797,2059,92733.06,2059,137,427,115,277,857,2031,25,3,1873,1734,139
2230,1237,41993.29,1237,814,221,69,21,5,27,1204,6,1152,224,928
2707,1234,58894.03,1234,1047,137,23,0,0,1040,189,5,1153,879,274
7133,2468,126294,2468,379,226,627,354,467,2345,123,0,2295,2186,109
3541,1533,48525.37,1533,42,1019,242,97,39,1042,491,0,1410,695,715
3268,2052,80111.48,2052,779,920,145,116,22,324,1723,5,1947,634,1313
2981,813,121774.85,813,0,12,170,528,16,770,38,5,753,706,47
3129,1232,69114.81,1232,244,449,217,127,10,876,60,296,1173,1006,167
1955,831,70599.34,831,225,485,67,14,15,557,274,0,814,647,167
3335,1326,51065.74,1326,304,902,65,36,0,10,1316,0,1305,463,842
425,166,46735.9,166,63,75,11,3,0,153,13,0,162,128,34
3633,1175,108331.83,1175,92,478,276,118,39,931,203,41,1094,937,157
3492,1418,84235.8,1418,165,421,628,74,64,1079,339,0,1378,1049,329
8866,2567,149197.91,2567,16,17,282,652,128,2463,101,3,2276,2023,253
3608,1561,51610.43,1561,181,1202,69,30,12,338,1223,0,1537,489,1048
3126,1642,44406.51,1642,926,448,140,70,15,493,1125,24,1647,664,983
5836,1720,89308.36,1720,16,101,917,535,100,1288,424,8,1583,1331,252
4852,2551,30735.57,2551,1031,878,355,200,45,263,2284,4,2444,590,1854
5663,1862,44094.98,1862,852,527,118,95,5,27,1830,5,1753,532,1221
4396,1601,87889.33,1601,490,264,227,274,156,1580,11,10,1546,1440,106
9153,3092,81199.02,3092,135,671,351,353,648,2728,361,3,2953,2665,288
1208,831,31133.8,831,185,221,44,101,8,6,825,0,747,244,503
2731,1007,117243.82,1007,61,372,216,144,27,891,116,0,927,796,131
4920,2143,75482.2,2143,56,1507,179,98,10,1459,684,0,1946,1370,576
8682,3708,66633.57,3708,87,1021,782,678,271,2260,1439,9,3476,2346,1130
42,24,65000,24,3,20,0,0,0,18,3,3,25,25,0
12410,5846,42199.04,5846,159,1278,179,588,244,545,5297,4,5332,2987,2345
4080,1376,116607.21,1376,187,1064,66,33,0,1052,254,70,1342,1178,164
8196,3038,119084.21,3038,225,823,398,507,402,2827,211,0,2845,2653,192
9984,3966,77616.94,3966,121,873,562,315,842,2740,1226,0,3727,2479,1248
2962,1571,53918.57,1571,165,761,145,277,23,571,1000,0,1474,597,877
13714,3985,109495.53,3985,24,15,8,262,943,3965,20,0,3820,3598,222
3428,1390,135157.34,1390,1144,134,30,20,10,766,615,9,1353,864,489
6750,2377,93522.35,2377,1169,492,151,157,51,1700,677,0,2207,1501,706
7484,2848,103856.6,2848,704,615,263,197,363,2705,135,8,2765,2377,388
3947,1863,52628.99,1863,784,497,153,112,62,1052,808,3,1791,1030,761
3562,1122,59783.65,1122,592,259,45,64,34,760,362,0,1043,651,392
5298,1482,99203.78,1482,0,16,10,511,757,1472,10,0,1401,1340,61
5909,2751,46168.94,2751,464,1280,337,239,97,1063,1683,5,2532,1022,1510
8464,2880,89598.9,2880,405,367,137,491,279,2730,150,0,2702,2443,259
6116,2322,98614.69,2322,438,630,444,394,183,2223,85,14,2169,2011,158
4142,1977,57029.9,1977,40,388,363,518,166,860,764,353,1874,1362,512
8163,2658,114890.27,2658,425,606,268,230,286,2593,65,0,2430,2194,236
5643,2331,101557.56,2331,1093,753,243,90,13,1674,653,4,2230,1610,620
3769,1146,46190.31,1146,172,796,102,38,6,538,608,0,1076,673,403
7005,2798,67851.14,2798,384,1185,218,162,258,2115,683,0,2687,2233,454
7390,3005,82116.8,3005,1145,378,354,457,76,794,2207,4,2779,1589,1190
10602,2902,99098.78,2902,25,87,213,659,999,992,1910,0,2607,1837,770
2512,1575,29164.45,1575,1037,335,119,51,10,168,1362,45,1550,208,1342
3508,1186,111142.72,1186,9,105,238,232,351,886,300,0,1092,821,271
6812,2298,46951.83,2298,397,1500,211,101,9,1005,1293,0,2164,1119,1045
9589,3837,81952.42,3837,36,482,752,766,401,2726,1106,5,3594,2858,736
3053,1058,88592.93,1058,206,403,193,104,59,1024,31,3,1004,824,180
4083,1052,59318.43,1052,13,153,431,391,22,917,130,5,980,882,98
3626,1400,48375.23,1400,145,840,314,64,8,133,1267,0,1338,404,934
4464,1897,61344.5,1897,1013,516,87,133,48,1395,498,4,1844,1133,711
1436,656,58289.43,656,471,85,22,12,26,127,529,0,622,226,396
4792,2547,54690.37,2547,414,1126,440,435,43,324,2223,0,2413,894,1519
4498,2110,74488.82,2110,658,1067,215,80,3,1108,997,5,2120,1167,953
7694,2436,86026.09,2436,23,792,495,931,101,2239,197,0,2209,1879,330
4431,1808,80834.1,1808,620,562,145,204,77,1643,160,5,1747,1443,304
3095,1225,123051.21,1225,145,935,46,19,0,1210,15,0,1145,1062,83
7616,2780,98486.81,2780,0,112,668,1201,471,2217,563,0,2748,2154,594
5027,2027,88448.99,2027,190,1434,128,88,54,1905,122,0,1900,1517,383
2552,1524,47918.68,1524,762,505,90,99,23,107,1396,21,1427,444,983
5813,2077,115518.45,2077,479,1126,224,86,37,1914,163,0,1997,1844,153
4683,2099,48903.5,2099,617,1149,159,115,19,1085,1014,0,2035,859,1176
2983,1144,57607.74,1144,215,411,125,94,71,703,430,11,1096,713,383
1408,382,46774.7,382,110,56,0,33,80,90,292,0,315,28,287
3451,1117,75814.56,1117,15,297,589,151,35,802,315,0,1019,717,302
2216,938,76163.96,938,24,391,381,93,9,853,85,0,898,766,132
9996,4220,82636.52,4220,754,559,679,770,108,1370,2850,0,3948,3122,826
7188,3090,80376.2,3090,122,1147,999,416,208,1679,1406,5,3090,2123,967
3388,1408,72985.55,1408,5,781,476,122,5,1166,237,5,1322,978,344
3574,1763,47132.67,1763,582,1026,81,20,11,796,967,0,1656,838,818
5563,3071,41262.9,3071,874,1039,577,392,53,1199,1868,4,2900,1189,1711
